p_m,crossover,eval,fit_best,probs,probs1,probs2p5
0.01,False,1000,-1090.7206929539846,0.27,0.265,0.245
0.01,False,10000,-1090.7206929539846,0.93,0.915,0.88
0.01,False,100000,-1090.7206929539846,0.48,0.47,0.465
0.01,True,1000,-1090.7206929539846,0.3,0.295,0.275
0.01,True,10000,-1090.7206929539846,0.02,0.015,0.015
0.01,True,100000,-1090.7206929539846,0.59,0.58,0.58
0.1,False,1000,-1090.7206929539846,0.535,0.53,0.525
0.1,False,10000,-1090.7206929539846,0.98,0.97,0.97
0.1,False,100000,-1090.7206929539846,0.365,0.345,0.33
0.1,True,1000,-1090.7206929539846,0.78,0.765,0.75
0.1,True,10000,-1090.7206929539846,0.945,0.935,0.905
0.1,True,100000,-1090.7206929539846,0.37,0.365,0.355
